s,d,grn,exp
0,0,0,0.011490657925605774
1,0,1,0.9550643563270569
1,1,0,0.011397521942853928
1,2,1,0.02935916930437088
1,3,1,0.9461106657981873
1,4,1,0.059442855417728424
1,5,1,0.534031093120575
1,6,1,0.908008337020874
1,7,1,0.9179815649986267
1,8,1,0.318682998418808
1,9,1,0.9419410824775696
1,10,1,0.9400843977928162
1,11,1,0.9503596425056458
1,12,1,0.4475478231906891
1,13,1,0.9472384452819824
1,15,1,0.9415061473846436
1,16,1,0.9189074635505676
1,18,1,0.2608344256877899
1,19,1,0.9485154747962952
1,20,1,0.9313892722129822
1,21,1,0.8786237239837646
1,22,1,0.9453244805335999
1,23,1,0.028568794950842857
1,24,1,0.931332528591156
1,25,1,0.9536368250846863
1,26,1,0.8979630470275879
1,27,1,0.9393194317817688
1,28,1,0.03087085485458374
1,29,1,0.6489239931106567
1,30,1,0.10197731852531433
1,31,1,0.20379772782325745
1,32,1,0.9414864182472229
1,33,1,0.7194950580596924
1,34,1,0.9624618887901306
1,35,1,0.9459807276725769
1,36,1,0.9483076333999634
1,37,1,0.9401537179946899
1,38,1,0.9427369236946106
1,39,1,0.05244649574160576
1,40,1,0.9563471674919128
1,41,1,0.9476073980331421
1,42,1,0.8998686671257019
1,43,1,0.014142177999019623
1,45,1,0.778475821018219
1,46,1,0.054020486772060394
1,47,1,0.0338168628513813
1,48,1,0.9346874952316284
1,49,1,0.031925421208143234
1,50,1,0.03184904158115387
1,51,1,0.06402286142110825
1,52,1,0.01916380412876606
1,53,1,0.03701147064566612
1,54,1,0.016339384019374847
1,55,1,0.024886159226298332
1,57,1,0.31792864203453064
1,58,1,0.9401493668556213
1,59,1,0.941007673740387
1,60,1,0.04182741418480873
1,61,1,0.021907633170485497
1,63,1,0.014356186613440514
1,64,1,0.02448749542236328
1,65,1,0.838103175163269
1,66,1,0.030099662020802498
1,68,1,0.03645524010062218
1,69,1,0.021134577691555023
1,70,1,0.031938813626766205
1,71,1,0.02768220379948616
1,72,1,0.022515306249260902
1,73,1,0.05669814720749855
1,77,1,0.014956342056393623
1,80,1,0.031012138351798058
1,81,1,0.3529951870441437
1,86,1,0.015569090843200684
1,88,1,0.02538965828716755
1,89,1,0.03290696069598198
1,91,1,0.02950100600719452
1,92,1,0.7365878224372864
1,94,0,0.030241508036851883
1,97,0,0.021749217063188553
1,98,1,0.01622084341943264
1,99,0,0.10970085859298706
2,1,1,0.3092905879020691
2,2,0,0.01177619956433773
2,4,0,0.0973520278930664
2,23,0,0.0149167375639081
2,28,0,0.014179209247231483
2,43,0,0.021141940727829933
