s,d,grn,exp
28,47,0,5.924689907165327e-42
28,49,0,1.3483965045697801e-38
28,50,0,1.3483965045697801e-38
28,53,0,0.0
28,55,0,0.0
28,60,0,0.0
28,61,0,0.0
28,68,0,0.0
28,71,0,0.0
28,72,0,0.0
28,75,0,0.0
28,85,0,0.0
28,88,0,0.0
28,89,0,1.1177457200686903e-40
28,91,0,0.0
28,94,0,0.0
28,97,0,0.0
29,24,0,3.4342437581433915e-37
29,29,0,1.1445107225242732e-36
29,87,0,2.712687137898242e-32
30,7,0,4.677430779616858e-36
30,14,1,0.0
30,16,0,1.410373413309631e-38
30,30,0,2.7152746449024386e-36
30,80,0,0.0
30,94,0,1.8162229396113954e-41
31,8,0,3.3224663274876552e-37
31,14,1,0.0
31,18,0,4.530820566778974e-38
31,21,0,2.8113956817071297e-38
31,31,0,5.167640093372001e-38
31,42,0,1.4258724749742957e-38
31,43,0,7.2280656348031254e-40
31,55,0,0.0
31,61,0,0.0
31,69,0,0.0
31,79,0,0.0
31,81,0,4.3409793770648765e-38
31,85,0,0.0
31,88,0,0.0
32,32,0,1.0667240447896521e-34
33,1,1,0.0
33,33,0,1.908139105719381e-36
33,66,0,0.0
33,69,0,3.1142457071154735e-41
33,72,0,0.0
33,99,0,0.0
34,34,0,1.833721538717658e-35
34,52,0,0.0
34,54,0,0.0
34,70,0,0.0
34,73,0,1.4587517013621346e-40
34,79,0,0.0
34,83,0,0.0
34,91,0,3.9063436770597196e-40
36,36,0,1.0667240447896521e-34
39,39,0,4.4878310168125823e-36
39,46,0,1.264026011196134e-36
40,40,0,1.0665108716441954e-34
42,8,0,9.274515746389845e-38
42,14,1,0.0
42,18,0,1.1493033818748245e-38
42,31,0,1.326322410380657e-38
42,42,0,4.907448115554941e-39
42,43,0,1.7319068110129712e-40
42,52,0,0.0
42,55,0,0.0
42,71,0,0.0
42,78,0,0.0
42,79,0,0.0
42,81,0,1.1057584524854701e-38
42,82,0,0.0
42,83,0,0.0
42,85,0,0.0
42,86,0,0.0
43,2,0,2.620147868594543e-40
43,8,0,3.5104236115463144e-39
43,14,1,0.0
43,18,0,4.303205415141151e-40
43,21,0,2.604117014162667e-40
43,23,0,2.620147868594543e-40
43,28,0,2.620147868594543e-40
43,31,0,5.044015861291109e-40
43,42,0,9.280519469530398e-41
43,43,0,0.0
43,47,0,0.0
43,49,0,2.620147868594543e-40
43,50,0,2.620147868594543e-40
43,52,0,0.0
43,54,0,0.0
43,55,0,0.0
43,60,0,0.0
43,61,0,0.0
43,64,0,0.0
43,69,0,0.0
43,71,0,0.0
43,72,0,0.0
43,75,0,0.0
43,79,0,0.0
43,81,0,4.06972106501535e-40
43,85,0,0.0
43,86,0,0.0
43,88,0,0.0
43,89,0,0.0
43,94,0,0.0
43,97,0,0.0
44,1,1,0.0
44,14,1,0.0
45,16,0,2.1224985792456276e-38
45,45,0,4.306571423735561e-36
45,86,0,0.0
45,92,0,4.306571423735561e-36
46,4,0,1.0662190787044496e-37
46,39,0,1.1688328693929679e-36
46,46,0,4.661482792370969e-37
47,2,0,0.0
47,23,0,0.0
47,28,0,0.0
47,43,0,0.0
47,47,0,0.0
47,49,0,0.0
47,50,0,0.0
47,54,0,0.0
47,55,0,0.0
47,60,0,0.0
47,61,0,0.0
47,64,0,0.0
47,68,0,0.0
47,69,0,0.0
47,71,0,0.0
47,72,0,0.0
47,77,0,0.0
47,79,0,0.0
47,80,0,0.0
47,86,0,0.0
47,88,0,0.0
47,89,0,0.0
47,91,0,0.0
47,94,0,0.0
47,97,0,0.0
49,1,1,0.0
49,2,0,1.3483966446996266e-38
49,4,0,1.0601787424376205e-35
49,23,0,1.3483966446996266e-38
49,28,0,1.3483966446996266e-38
49,43,0,3.2703083170873283e-40
49,47,0,5.924689907165327e-42
49,49,0,1.3483966446996266e-38
49,50,0,1.3483966446996266e-38
49,53,0,0.0
49,55,0,0.0
49,60,0,0.0
49,61,0,0.0
49,68,0,0.0
49,71,0,0.0
49,72,0,0.0
49,75,0,0.0
49,85,0,0.0
49,88,0,0.0
49,89,0,1.1177457200686903e-40
49,91,0,0.0
49,94,0,0.0
49,97,0,0.0
50,1,1,0.0
50,2,0,1.3483966446996266e-38
50,4,0,1.0601787424376205e-35
50,23,0,1.3483966446996266e-38
50,28,0,1.3483966446996266e-38
50,43,0,3.2703083170873283e-40
50,47,0,5.924689907165327e-42
50,49,0,1.3483966446996266e-38
50,50,0,1.3483966446996266e-38
50,53,0,0.0
50,55,0,0.0
50,60,0,0.0
50,61,0,0.0
50,68,0,0.0
50,71,0,0.0
50,72,0,0.0
50,75,0,0.0
50,85,0,0.0
50,88,0,0.0
50,89,0,1.1177457200686903e-40
50,91,0,0.0
50,94,0,0.0
50,97,0,0.0
51,51,0,6.039477604940048e-35
51,70,0,0.0
51,78,0,9.124414820604614e-40
51,79,0,0.0
51,83,0,0.0
51,88,0,0.0
52,14,1,0.0
52,34,0,0.0
52,42,0,0.0
52,43,0,0.0
52,52,0,0.0
52,53,0,0.0
52,54,0,0.0
52,55,0,0.0
52,60,0,0.0
52,61,0,0.0
52,63,0,0.0
52,64,0,0.0
52,70,0,0.0
52,71,0,0.0
52,72,0,0.0
52,73,0,0.0
52,75,0,0.0
52,77,0,0.0
52,78,0,0.0
52,79,0,0.0
52,83,0,0.0
52,85,0,0.0
52,86,0,0.0
52,88,0,0.0
52,91,0,0.0
52,94,0,0.0
52,98,0,0.0
53,2,0,0.0
53,7,0,0.0
53,23,0,0.0
53,28,0,0.0
53,49,0,0.0
53,50,0,0.0
53,52,0,0.0
53,53,0,0.0
53,54,0,0.0
53,55,0,0.0
53,57,0,0.0
53,60,0,0.0
53,61,0,0.0
53,64,0,0.0
53,68,0,0.0
53,69,0,0.0
53,70,0,0.0
53,71,0,0.0
53,72,0,0.0
53,75,0,0.0
53,77,0,0.0
53,88,0,0.0
53,89,0,0.0
53,94,0,0.0
53,97,0,0.0
54,18,0,0.0
54,34,0,0.0
54,43,0,0.0
54,47,0,0.0
54,52,0,0.0
54,53,0,0.0
54,54,0,0.0
54,55,0,0.0
54,60,0,0.0
54,61,0,0.0
54,63,0,0.0
54,64,0,0.0
54,70,0,0.0
54,71,0,0.0
54,73,0,0.0
54,77,0,0.0
54,78,0,0.0
54,79,0,0.0
54,81,0,0.0
54,83,0,0.0
54,86,0,0.0
54,88,0,0.0
54,98,0,0.0
55,2,0,0.0
55,7,0,0.0
55,14,1,0.0
55,16,0,0.0
55,18,0,0.0
55,21,0,0.0
55,23,0,0.0
55,28,0,0.0
55,31,0,0.0
55,42,0,0.0
55,43,0,0.0
