s,d,grn,exp
21,31,0,2.560175074497594e-36
21,43,0,2.8797754033901735e-38
21,55,0,0.0
21,72,0,0.0
21,73,0,0.0
21,77,0,0.0
21,79,0,0.0
21,81,0,2.3628844476224932e-36
21,85,0,0.0
21,88,0,0.0
23,1,1,0.0
23,2,0,4.428125568041851e-37
23,4,0,6.345042264566265e-33
23,23,0,4.428125568041851e-37
23,28,0,4.428125568041851e-37
23,43,0,1.5835827316805037e-38
23,47,0,3.554784517031445e-39
23,49,0,4.428125568041851e-37
23,50,0,4.428125568041851e-37
23,53,0,0.0
23,55,0,0.0
23,60,0,0.0
23,61,0,0.0
23,68,0,0.0
23,71,0,0.0
23,72,0,0.0
23,75,0,0.0
23,85,0,0.0
23,88,0,0.0
23,89,0,9.753267124648876e-39
23,91,0,0.0
23,94,0,0.0
23,97,0,0.0
24,5,0,3.236378737906725e-35
24,12,0,3.236378737906725e-35
24,24,0,1.1450859499386847e-36
24,29,0,9.240811917512884e-36
24,66,0,0.0
24,87,0,1.0815454627583117e-32
25,25,0,1.4655627163774538e-32
25,80,0,0.0
26,21,0,6.147427360814512e-35
26,26,0,1.7481762804306974e-33
26,69,0,1.7272844878985493e-38
26,72,0,0.0
26,73,0,1.2339825869053553e-38
28,1,1,0.0
28,2,0,4.428125568041851e-37
28,4,0,6.345042264566265e-33
28,23,0,4.428125568041851e-37
28,28,0,4.428125568041851e-37
28,43,0,1.5835827316805037e-38
28,47,0,3.554784517031445e-39
28,49,0,4.428125568041851e-37
28,50,0,4.428125568041851e-37
28,53,0,0.0
28,55,0,0.0
28,60,0,0.0
28,61,0,0.0
28,68,0,0.0
28,71,0,0.0
28,72,0,0.0
28,75,0,0.0
28,85,0,0.0
28,88,0,0.0
28,89,0,9.753267124648876e-39
28,91,0,0.0
28,94,0,0.0
28,97,0,0.0
29,24,0,1.9669140600238838e-34
29,29,0,3.929953121287381e-34
29,87,0,1.61724625633588e-29
30,7,0,6.345015448601387e-34
30,14,1,0.0
30,16,0,2.522907440945386e-36
30,30,0,3.7443836596770726e-34
30,80,0,0.0
30,94,0,7.753353574542998e-39
31,8,0,1.9002912244740702e-35
31,14,1,0.0
31,18,0,4.3407076821082255e-36
31,21,0,2.8341797297502183e-36
31,31,0,4.333758676654802e-36
31,42,0,7.196994924213344e-37
31,43,0,6.168630185912534e-38
31,55,0,0.0
31,61,0,0.0
31,69,0,0.0
31,79,0,0.0
31,81,0,3.9998236474123407e-36
31,85,0,0.0
31,88,0,0.0
32,32,0,5.93846448255576e-33
33,1,1,0.0
33,33,0,7.014509072562605e-34
33,66,0,0.0
33,69,0,8.079145658409267e-39
33,72,0,0.0
33,99,0,0.0
34,34,0,9.732071095736302e-34
34,52,0,0.0
34,54,0,0.0
34,70,0,0.0
34,73,0,1.4638485041365768e-38
34,79,0,0.0
34,83,0,0.0
34,91,0,2.669113721093138e-38
36,36,0,5.93846448255576e-33
39,39,0,4.441852901244159e-34
39,46,0,1.1988148271279074e-34
40,40,0,5.93846448255576e-33
42,8,0,2.8492262224576507e-36
42,14,1,0.0
42,18,0,5.985896382009492e-37
42,31,0,6.630334039677852e-37
42,42,0,1.9956689610055e-37
42,43,0,1.3422271479507437e-38
42,52,0,0.0
42,55,0,0.0
42,71,0,0.0
42,78,0,0.0
42,79,0,0.0
42,81,0,5.784007164410761e-37
42,82,0,0.0
42,83,0,0.0
42,85,0,0.0
42,86,0,0.0
43,2,0,1.20560895546986e-38
43,8,0,1.71532821703736e-37
43,14,1,0.0
43,18,0,3.7025321021756894e-38
43,21,0,2.00448010154142e-38
43,23,0,1.20560895546986e-38
43,28,0,1.20560895546986e-38
43,31,0,4.1012068402102643e-38
43,42,0,9.684310628517916e-39
43,43,0,0.0
43,47,0,0.0
43,49,0,1.20560895546986e-38
43,50,0,1.20560895546986e-38
43,52,0,0.0
43,54,0,0.0
43,55,0,0.0
43,60,0,0.0
43,61,0,0.0
43,64,0,0.0
43,69,0,0.0
43,71,0,0.0
43,72,0,0.0
43,75,0,0.0
43,79,0,0.0
43,81,0,3.5778185006686307e-38
43,85,0,0.0
