s,d,grn,exp
0,0,0,0.008334961719810963
0,81,0,0.008760134689509869
0,87,0,0.010669807903468609
1,0,1,0.013554963283240795
1,1,0,0.008341645821928978
1,2,1,0.03410058841109276
1,3,1,0.008792631328105927
1,4,1,0.01587691344320774
1,5,1,0.0092878183349967
1,6,1,0.010616817511618137
1,7,1,0.010798344388604164
1,8,1,0.015453437343239784
1,9,1,0.01825890503823757
1,10,1,0.018383989110589027
1,11,1,0.00940087903290987
1,12,1,0.018217802047729492
1,13,1,0.009871373884379864
1,15,1,0.009162918664515018
1,16,1,0.03447723388671875
1,18,1,0.017899148166179657
1,19,1,0.027056118473410606
1,20,1,0.015507418662309647
1,21,1,0.012052792124450207
1,22,1,0.033923424780368805
1,23,1,0.011242805980145931
1,24,1,0.02610311470925808
1,25,1,0.03531965985894203
1,26,1,0.019875850528478622
1,27,1,0.00885764043778181
1,28,1,0.008894910104572773
1,29,1,0.00955089833587408
1,30,1,0.02687874622642994
1,31,1,0.008518252521753311
1,32,1,0.00883424375206232
1,33,1,0.03246106207370758
1,34,1,0.011031491681933403
1,35,1,0.01913289539515972
1,36,1,0.0336245633661747
1,37,1,0.016162745654582977
1,38,1,0.034363240003585815
1,39,1,0.06045842543244362
1,40,1,0.009909081272780895
1,41,1,0.018132351338863373
1,42,1,0.017318416386842728
1,43,1,0.014648513868451118
1,45,1,0.034844059497117996
1,46,1,0.03366713970899582
1,47,1,0.009214109741151333
1,48,1,0.018572797998785973
1,49,1,0.014755219221115112
1,50,1,0.016241949051618576
1,51,1,0.0156558770686388
1,52,1,0.014288172125816345
1,53,1,0.012840536423027515
1,54,1,0.013297569938004017
1,55,1,0.013104124926030636
1,57,1,0.042177435010671616
1,58,1,0.011794239282608032
1,59,1,0.012533169239759445
1,60,1,0.0192598644644022
1,61,1,0.012246361933648586
1,63,1,0.009903204627335072
1,64,1,0.015570424497127533
1,65,1,0.0093608433380723
1,66,1,0.010927784256637096
1,68,1,0.009128144942224026
1,69,1,0.04605745151638985
1,70,1,0.013891397975385189
1,71,1,0.013569244183599949
1,72,1,0.01116176787763834
1,73,1,0.008966762572526932
1,77,1,0.009948293678462505
1,80,1,0.00935608334839344
1,81,1,0.012358201667666435
1,83,0,0.01218103151768446
1,86,1,0.012146308086812496
1,88,1,0.014312508516013622
1,89,1,0.010891707614064217
1,91,1,0.010458717122673988
1,92,1,0.033386070281267166
1,96,0,0.010363667272031307
1,98,1,0.012403647415339947
2,2,0,0.008343256078660488
3,3,0,0.008346094749867916
3,5,0,0.008439067751169205
3,11,0,0.008731331676244736
3,13,0,0.008780750446021557
3,15,0,0.008366058580577374
3,18,0,0.012096896767616272
3,31,0,0.008341358043253422
3,32,0,0.008674298413097858
3,42,0,0.012936635874211788
3,59,0,0.009525473229587078
4,4,0,0.008342915214598179
4,7,0,0.009411842562258244
4,13,0,0.009732838720083237
4,29,0,0.008613198064267635
4,35,0,0.011946938000619411
4,96,0,0.009583376348018646
5,3,0,0.00877226609736681
5,5,0,0.008354987017810345
5,11,0,0.008754492737352848
5,15,0,0.008313014172017574
5,31,0,0.008365497924387455
5,32,0,0.008763812482357025
5,59,0,0.009224261157214642
5,65,0,0.009401132352650166
6,6,0,0.0083382036536932
6,10,0,0.01608271524310112
6,14,1,0.04394086077809334
7,1,1,0.01815982349216938
7,4,0,0.011327603831887245
7,7,0,0.00835387036204338
7,11,0,0.009113290347158909
7,13,0,0.009555000811815262
