s,d,grn,exp
0,0,0,0.008978658355772495
0,35,0,0.00882786139845848
1,0,1,0.00893836934119463
1,1,0,0.008826589211821556
1,2,1,0.009017471224069595
1,3,1,0.008929384872317314
1,4,1,0.009072772227227688
1,5,1,0.009036495350301266
1,6,1,0.009050178341567516
1,7,1,0.008955420926213264
1,8,1,0.009025502018630505
1,9,1,0.008889141492545605
1,10,1,0.009261413477361202
1,11,1,0.009069021791219711
1,12,1,0.008915983140468597
1,13,1,0.008927714079618454
1,15,1,0.009007428772747517
1,16,1,0.008935289457440376
1,18,1,0.009067976847290993
1,19,1,0.009007645770907402
1,20,1,0.008958032354712486
1,21,1,0.009035961702466011
1,22,1,0.008938318118453026
1,23,1,0.009098216891288757
1,24,1,0.008952141739428043
1,25,1,0.008957515470683575
1,26,1,0.00916245486587286
1,27,1,0.009076756425201893
1,28,1,0.009054211899638176
1,29,1,0.008954523131251335
1,30,1,0.009041616693139076
1,31,1,0.00894032884389162
1,32,1,0.008933127857744694
1,33,1,0.008893599733710289
1,34,1,0.008957942947745323
1,35,1,0.008947497233748436
1,36,1,0.009057027287781239
1,37,1,0.00899698119610548
1,38,1,0.008996279910206795
1,39,1,0.009022594429552555
1,40,1,0.008950799703598022
1,41,1,0.008919198997318745
1,42,1,0.008971384726464748
1,43,1,0.009022291749715805
1,45,1,0.008928021416068077
1,46,1,0.00907018780708313
1,47,1,0.008941199630498886
1,48,1,0.008968985639512539
1,49,1,0.008939881809055805
1,50,1,0.00902548898011446
1,51,1,0.009011933580040932
1,52,1,0.008940709754824638
1,53,1,0.009040488861501217
1,54,1,0.008913662284612656
1,55,1,0.00896218977868557
1,57,1,0.00898438785225153
1,58,1,0.009024078026413918
1,59,1,0.008932161144912243
1,60,1,0.008989977650344372
1,61,1,0.008921281434595585
1,63,1,0.008965820074081421
1,64,1,0.009010642766952515
1,65,1,0.008867615833878517
1,66,1,0.00893679354339838
1,68,1,0.009035773575305939
1,69,1,0.008944935165345669
1,70,1,0.008906983770430088
1,71,1,0.009074629284441471
1,72,1,0.009084350429475307
1,73,1,0.008928371593356133
1,77,1,0.009114498272538185
1,80,1,0.008965562097728252
1,81,1,0.008971486240625381
1,86,1,0.008951125666499138
1,88,1,0.00908644963055849
1,89,1,0.009168864227831364
1,91,1,0.00893565732985735
1,92,1,0.009018447250127792
1,98,1,0.008994847536087036
2,2,0,0.008951430208981037
2,28,0,0.008924887515604496
2,68,0,0.009042376652359962
5,5,0,0.008931098505854607
5,70,0,0.00895601324737072
5,79,0,0.008985789492726326
5,80,0,0.00888933427631855
6,6,0,0.008924802765250206
6,33,0,0.008992289192974567
6,70,0,0.008966989815235138
8,8,0,0.008920645341277122
10,10,0,0.008962427265942097
11,11,0,0.00909329205751419
12,12,0,0.00903245247900486
12,14,1,0.008868562988936901
12,52,0,0.008924705907702446
